,DO,TG,SY,BW,NA,PF,GP,UA,BB,PS,GE,DZ,TR,MK,CD,SL,TK,HU,AD,MR,RS,LT,UM,EE,IS,LA,BN,GI,VG,FO,MG,AQ,CH,MF,CI,SA,GH,UY,BO,IR,BZ,NL,LU,PK,AE,MS,ST,JM,HT,TJ,SM,HM,KR,GD,PR,NU,GQ,EH,KG,PG,BV,LY,QA,SX,AI,TF,TM,DE,SS,OM,MT,RU,PL,LR,EC,PY,BH,KY,ZW,VA,FI,MA,CN,AW,CW,MX,BQ,NG,UG,NR,LK,BD,IL,TT,MM,SJ,SK,ML,AZ,CC,HK,YE,US,IM,GB,PT,BE,GW,PA,NF,AO,CV,MY,CO,SG,GN,WF,BI,KM,IT,WS,LS,PM,CZ,MU,SR,HR,VU,TL,AU,CL,MC,SD,FK,TZ,VC,ET,GM,BJ,KN,NI,PN,RW,MV,CY,TO,SH,MO,TV,GA,KW,IN,PW,BF,LI,NP,GT,NE,BS,MZ,CU,AL,TC,DK,FR,JE,DJ,ZM,AM,BR,GU,BG,RO,IO,JP,VN,TW,CA,AX,MN,SI,ZA,TN,MW,CX,GY,GL,KZ,FJ,SE,AT,CM,SN,CF,VI,HN,GG,GR,NC,DM,AS,ME,SB,FM,VE,ER,ID,UZ,BL,LC,NZ,KH,IQ,EG,LV,NO,BY,PH,MP,AF,TH,JO,SV,MQ,AG,KI,RE,BM,LB,ES,IE,XK,SC,CK,AR,MD,TD,CR,SZ,BT,PE,KE,GS,YT,BA,GF,KP,CG,MH,SO
DO,39116,2,20,0,2,0,0,169,2,13,15,22,322,3,16,21,0,27,2,1,14,2,0,9,6,26,0,1,7,1,1,0,70,0,2,70,16,646,70,60,1,163,2,27,68,0,3,30,60,9,1,0,35,0,0,2,0,0,4,732,0,0,2,0,2,0,3,257,3,33,3,633,85,182,1153,373,2,2,1,6,96,66,265,0,0,4336,0,44,11,1,3,8,12,7,11,0,3,2,23,0,0,34,14322,1,590,149,45,0,340,0,9,0,43,2133,8,0,0,0,0,339,0,1,0,22,1,3,7,0,0,109,598,4,42,10,6,2,7,0,2,0,117,1,0,1,5,3,4,0,0,4,5,185,1,2,1,10,498,2,9,3,67,2,0,29,901,20,0,0,4,923,0,7,544,1,531,26,64,553,0,0,14,46,26,1,0,10,6,1,2,43,20,7,3,0,0,186,0,20,0,4,0,0,1,3,4618,0,106,26,0,1,30,0,11,33,9,21,7,232,0,8,74,9,206,0,2,0,0,0,8,3976,94,1,5,0,5285,2,4,807,0,0,597,22,1,0,10,0,8,0,1,4
TG,2,532,5,0,0,0,0,13,0,0,4,11,124,0,3,0,0,5,0,0,0,1,0,5,0,7,0,0,0,0,0,0,16,0,38,24,13,0,2,6,1,6,1,31,48,0,0,5,2,0,0,0,41,0,0,1,0,0,0,5,0,2,11,0,0,0,0,52,4,2,5,18,9,8,6,2,27,2,0,3,23,11,160,0,0,153,0,116,6,0,1,0,10,5,6,0,1,3,1,0,0,3,1183,1,147,27,21,0,1,0,0,0,38,14,31,5,0,0,1,51,0,1,0,4,1,0,0,0,0,51,6,0,4,0,0,0,2,0,38,0,4,0,0,1,2,0,0,0,0,7,37,30,0,3,0,1,5,5,1,2,1,0,0,10,369,3,0,0,0,137,0,2,4,0,229,9,38,80,0,1,1,19,1,2,0,2,1,3,0,21,5,38,34,2,0,1,0,18,0,1,0,0,0,0,14,0,33,0,0,0,5,1,3,15,2,9,4,581,0,2,751,2,4,0,0,0,0,0,10,145,14,0,1,0,67,1,1,0,0,0,17,9,0,0,9,0,6,1,0,1
SY,21,2,15765,4,2,0,0,163,5,275,39,3613,3945,19,31,17,0,61,4,10,29,5,0,28,15,51,6,2,1,13,7,0,154,0,13,13174,26,26,8,331,4,331,14,329,1009,0,0,35,5,11,0,0,233,0,0,5,1,1,6,43,0,280,511,0,1,0,1,1283,7,395,11,460,96,141,35,16,417,2,4,16,225,402,448,0,0,265,0,199,29,0,14,90,131,21,93,0,27,6,57,0,0,1506,8846,4,2116,341,178,0,28,0,5,1,583,212,85,1,0,3,2,468,0,3,0,45,2,2,26,6,0,463,62,1,159,3,31,0,22,1,4,0,17,1,0,32,61,0,0,0,0,23,1711,729,0,22,1,55,23,7,47,6,20,73,5,238,2217,14,5,2,9,707,0,49,101,0,707,54,144,852,0,116,29,138,830,0,0,6,2,40,4,324,134,19,5,0,0,12,2,172,0,23,0,4,2,6,278,6,327,42,0,2,75,4,1323,23764,18,100,36,306,0,51,689,566,5,0,2,0,0,27,1128,719,171,7,7,0,860,11,18,18,0,1,95,36,4,0,73,0,17,5,2,19
BW,3,3,0,6080,40,0,0,34,0,0,9,3,12,0,13,1,0,6,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,49,28,1,2,7,0,17,0,28,8,0,0,11,2,3,0,0,3,0,0,0,0,0,0,4,0,21,1,0,0,0,0,195,12,1,0,63,7,52,2,0,0,1,24,3,29,1,71,0,0,27,0,96,32,0,0,1,2,1,3,0,0,0,0,0,0,7,9566,1,499,9,6,0,2,0,4,1,22,112,4,0,0,1,0,32,0,11,0,10,0,1,2,0,8,35,8,0,3,1,28,2,5,0,1,0,1,0,7,0,3,1,0,0,0,1,1,22,0,2,1,1,1,0,1,1,0,104,4,7,126,2,0,21,0,27,0,0,4,0,52,3,15,60,0,2,1,1306,0,7,0,1,0,0,0,3,2,6,0,0,0,3,0,6,0,0,0,0,0,0,12,0,13,0,0,0,9,0,2,7,6,6,2,23,0,1,2,5,1,0,0,0,0,0,0,26,14,1,0,0,159,1,1,0,5,0,6,107,0,0,25,0,0,0,0,3
NA,0,1,4,55,4517,0,0,13,4,4,3,5,11,3,29,1,0,12,0,0,19,3,0,2,0,6,3,0,0,0,2,0,11,0,1,10,45,1,0,10,0,11,1,16,78,0,0,12,0,8,0,0,35,0,0,0,0,1,0,0,0,1,7,0,1,0,0,65,2,5,1,51,12,52,2,2,6,1,39,1,29,16,50,0,0,19,0,131,48,0,1,6,1,2,2,0,3,0,3,0,0,6,1336,0,279,29,15,0,2,0,32,1,71,21,8,0,0,0,0,37,0,1,0,7,0,1,1,0,1,357,4,2,4,0,10,0,3,2,2,0,0,0,4,2,3,1,0,0,0,0,3,35,0,2,0,4,0,0,2,2,0,1,1,6,270,1,0,36,0,64,0,2,2,0,74,4,8,75,0,1,2,786,2,14,0,1,0,1,1,20,4,2,2,1,0,0,0,19,0,0,0,0,0,0,3,0,21,0,0,1,33,1,2,14,1,12,5,81,0,1,260,2,0,0,0,0,0,0,3,32,18,0,3,0,19,2,1,0,5,1,4,86,0,0,29,0,6,0,0,0
PF,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2,0,0,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,32,0,4,1,8,0,0,0,2,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,482,0,0,0,0,4,0,0,0,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
UA,48,8,132,6,11,0,0,70339,8,26,95,139,919,29,24,7,0,166,52,135,133,164,0,123,12,113,6,0,0,4,32,0,257,0,48,1329,62,187,29,290,16,487,14,151,303,0,3,310,20,16,9,0,380,1,0,3,0,3,46,19,0,23,82,0,8,0,3,1688,7,75,16,28439,890,234,114,79,158,21,26,25,1184,189,760,0,0,1188,0,222,80,6,29,29,261,5,43,0,73,8,78,0,0,348,16846,3,3491,540,272,1,73,0,25,18,493,608,211,6,0,2,4,1235,0,1,0,351,14,1,52,25,1,610,309,10,63,6,12,2,25,2,33,1,59,0,3,19,75,1,3,0,1,19,799,956,3,11,4,21,55,8,22,3,18,23,2,91,3637,16,1,13,42,8807,0,146,200,1,1763,80,128,1505,0,39,80,187,31,1,0,11,27,615,5,546,154,49,13,7,0,56,5,226,0,2,0,6,2,0,573,2,472,140,0,1,102,31,116,763,353,142,1839,1128,0,24,1573,150,39,0,3,0,0,1,42,2627,168,22,24,23,2450,146,14,27,1,5,322,45,0,0,112,0,36,13,0,36
BB,7,0,6,2,2,0,0,5,3287,1,5,6,32,1,4,2,0,10,0,0,3,2,0,4,1,4,0,0,8,3,1,0,21,0,3,24,15,0,0,7,0,28,0,182,17,0,0,69,15,1,0,0,11,12,0,0,0,0,0,3,0,0,0,0,3,0,0,68,1,1,0,53,25,20,0,2,0,1,3,2,77,12,38,0,0,49,0,42,16,0,2,2,5,39,1,0,5,1,3,0,0,6,2166,1,363,48,13,0,3,0,5,0,229,31,8,3,0,0,1,64,0,0,0,6,1,0,0,0,0,89,4,0,2,1,6,2,1,1,3,1,4,0,1,4,2,0,0,0,0,1,4,80,0,4,0,22,1,0,24,0,2,1,10,9,301,9,0,0,1,479,0,1,17,0,32,7,28,143,0,0,4,38,4,0,0,1,0,0,0,12,7,9,0,2,0,1,0,7,0,0,0,0,0,1,12,0,37,0,0,14,5,0,5,6,5,6,0,106,0,0,24,2,0,0,35,0,0,7,2,98,18,1,0,0,54,0,8,2,0,0,6,176,0,0,12,0,2,0,0,4
PS,10,0,142,1,3,0,0,36,0,1952,7,192,159,0,22,2,0,14,3,2,0,4,0,12,4,27,5,0,1,4,1,0,19,0,1,1254,13,11,9,63,2,43,0,62,283,0,0,33,10,4,0,0,560,0,0,1,0,3,1,6,0,49,45,0,0,0,0,155,13,42,4,63,32,19,25,58,50,0,16,5,104,69,261,0,0,254,0,137,6,0,3,9,97,1,13,0,13,4,5,0,0,152,3225,0,614,41,31,0,8,0,4,1,230,67,15,0,0,0,0,109,1,0,0,10,2,1,2,0,2,68,39,0,27,2,6,0,5,1,3,0,5,0,1,1,8,1,2,0,0,2,136,141,0,3,0,6,6,2,8,2,4,5,0,55,416,5,1,0,0,762,0,5,23,0,377,22,49,191,0,5,10,67,45,4,0,12,1,3,3,50,23,6,3,1,0,1,0,27,0,3,0,1,1,0,40,1,2898,2,0,0,22,2,440,868,6,18,7,106,0,15,128,362,4,0,1,0,0,1,310,323,29,1,6,0,275,2,2,9,0,0,34,17,0,0,18,0,10,1,1,3
