,DO,TG,SY,BW,NA,PF,GP,UA,BB,PS,GE,DZ,TR,MK,CD,SL,TK,HU,AD,MR,RS,LT,UM,EE,IS,LA,BN,GI,VG,FO,MG,AQ,CH,MF,CI,SA,GH,UY,BO,IR,BZ,NL,LU,PK,AE,MS,ST,JM,HT,TJ,SM,HM,KR,GD,PR,NU,GQ,EH,KG,PG,BV,LY,QA,SX,AI,TF,TM,DE,SS,OM,MT,RU,PL,LR,EC,PY,BH,KY,ZW,VA,FI,MA,CN,AW,CW,MX,BQ,NG,UG,NR,LK,BD,IL,TT,MM,SJ,SK,ML,AZ,CC,HK,YE,US,IM,GB,PT,BE,GW,PA,NF,AO,CV,MY,CO,SG,GN,WF,BI,KM,IT,WS,LS,PM,CZ,MU,SR,HR,VU,TL,AU,CL,MC,SD,FK,TZ,VC,ET,GM,BJ,KN,NI,PN,RW,MV,CY,TO,SH,MO,TV,GA,KW,IN,PW,BF,LI,NP,GT,NE,BS,MZ,CU,AL,TC,DK,FR,JE,DJ,ZM,AM,BR,GU,BG,RO,IO,JP,VN,TW,CA,AX,MN,SI,ZA,TN,MW,CX,GY,GL,KZ,FJ,SE,AT,CM,SN,CF,VI,HN,GG,GR,NC,DM,AS,ME,SB,FM,VE,ER,ID,UZ,BL,LC,NZ,KH,IQ,EG,LV,NO,BY,PH,MP,AF,TH,JO,SV,MQ,AG,KI,RE,BM,LB,ES,IE,XK,SC,CK,AR,MD,TD,CR,SZ,BT,PE,KE,GS,YT,BA,GF,KP,CG,MH,SO
DO,31104,4,11,2,0,0,0,72,3,11,15,34,138,2,17,15,0,36,2,2,11,0,0,9,0,62,2,0,2,0,5,0,44,0,8,46,14,430,92,37,0,171,4,34,66,1,2,33,44,10,1,0,26,2,0,0,1,2,0,154,0,1,4,0,2,0,0,189,0,37,4,131,92,147,1312,557,2,0,2,6,76,77,233,0,0,4781,0,56,3,0,2,6,15,7,18,0,5,1,18,0,0,50,9672,1,742,86,25,0,329,0,2,0,58,2926,7,1,0,0,0,344,0,0,0,17,0,1,5,0,1,79,787,2,34,0,6,0,7,1,2,2,200,0,0,2,4,2,2,0,0,8,16,93,1,3,0,10,669,1,9,4,56,3,1,25,656,5,0,1,5,591,0,7,522,0,392,33,42,548,0,1,8,36,4,4,0,4,9,0,2,62,22,4,5,1,0,269,0,19,0,5,0,0,0,0,4374,0,228,15,0,4,16,3,6,44,7,33,6,183,0,7,51,1,395,0,1,1,0,1,3,4800,80,1,8,1,5866,1,1,971,0,0,722,10,1,0,13,0,3,2,2,1
TG,1,168,2,2,0,0,0,8,0,0,1,2,10,0,4,0,0,6,0,0,4,2,0,1,0,3,1,0,0,0,6,0,5,0,17,28,4,2,0,4,0,4,0,5,19,0,0,0,1,1,0,0,10,0,0,2,0,0,1,0,0,0,1,0,0,0,0,21,2,1,0,7,7,7,4,7,2,0,0,2,19,3,48,0,0,113,0,35,6,0,0,1,1,1,4,0,2,0,0,0,0,3,527,0,99,24,14,0,7,0,1,0,29,17,15,0,0,0,0,30,0,0,0,2,1,0,2,0,1,22,7,0,1,1,0,0,0,0,24,0,5,0,0,1,1,0,0,0,0,4,2,17,1,4,0,1,2,1,1,1,0,1,0,8,266,2,0,0,1,66,0,1,3,0,98,5,4,51,0,0,2,12,4,0,0,0,2,0,1,8,2,14,8,1,0,1,0,3,0,1,0,0,0,0,17,0,13,1,0,0,5,0,0,3,2,1,0,96,0,2,98,3,5,0,0,0,0,0,0,230,7,1,1,0,33,0,3,5,0,0,15,2,0,0,3,0,1,1,0,1
SY,13,2,5072,0,2,0,0,63,1,90,10,1084,824,2,11,7,0,21,6,0,16,3,0,9,8,19,2,0,1,5,3,0,55,0,5,4653,14,17,2,136,1,120,1,152,437,0,0,30,4,2,1,0,48,0,0,0,0,0,3,11,0,128,188,0,0,0,1,470,2,101,5,172,31,87,14,7,223,0,1,10,89,156,235,0,0,126,0,64,17,0,4,24,47,1,21,0,11,2,12,0,0,663,3351,0,754,132,47,0,8,0,9,1,143,132,15,2,0,0,1,148,2,0,0,13,2,0,10,0,1,163,40,3,76,4,10,0,11,0,2,0,5,0,0,10,17,4,0,0,0,7,763,144,0,8,0,6,12,5,15,7,11,6,2,129,1103,12,2,1,1,309,0,14,61,0,272,24,52,338,0,17,6,56,294,3,0,6,2,6,0,113,49,15,1,2,0,4,0,45,0,10,0,3,1,0,280,2,90,11,0,0,32,2,428,8953,11,80,14,104,0,9,240,247,5,0,2,0,0,9,427,340,53,3,4,1,608,7,4,3,0,0,54,20,1,0,22,0,3,0,1,14
BW,0,2,2,2828,15,0,0,22,0,1,2,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,11,11,0,1,3,2,17,0,4,11,0,1,5,1,4,0,0,1,0,0,0,0,0,0,0,0,17,1,0,0,0,0,103,7,0,1,58,4,35,1,1,0,0,8,1,4,1,46,0,0,8,0,37,14,0,0,1,2,0,0,0,4,0,2,0,0,1,1667,0,398,7,3,0,2,0,1,0,11,9,3,0,0,2,0,17,0,5,0,4,1,0,1,0,0,36,2,0,0,0,43,0,6,0,2,0,0,0,8,0,6,0,0,0,0,0,2,23,0,2,0,0,0,0,4,0,0,10,0,2,78,0,0,11,2,15,0,2,1,0,29,0,3,41,0,0,0,669,3,16,0,0,0,1,0,5,3,1,2,0,0,1,0,3,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,9,5,1,3,10,0,0,2,1,0,0,0,0,0,0,0,11,8,0,0,0,12,0,0,0,3,0,4,40,0,0,18,0,0,0,1,3
NA,1,0,3,21,3419,0,0,4,1,1,1,3,9,0,5,0,0,3,0,0,1,1,0,0,0,3,0,0,0,0,1,0,3,0,1,51,14,1,1,4,0,15,0,6,56,0,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,1,3,0,1,0,0,33,1,2,1,34,9,27,3,0,1,0,24,0,23,5,37,0,0,17,0,28,11,0,1,3,4,0,2,0,2,1,1,0,0,2,650,0,175,10,7,0,0,0,19,0,46,15,9,0,0,4,0,37,0,2,0,6,0,0,1,0,0,268,6,3,2,1,2,0,3,0,2,0,0,0,2,0,1,0,0,0,0,0,10,25,0,0,0,2,0,1,1,3,0,1,0,3,102,1,0,20,0,29,0,4,2,0,66,4,9,43,0,1,2,373,1,9,0,1,1,0,0,22,2,1,0,0,0,0,0,34,0,0,0,0,0,0,6,0,21,0,0,1,27,0,0,8,1,6,8,103,0,1,9,3,2,0,0,0,0,0,3,15,10,0,6,0,21,2,1,3,0,0,3,38,0,0,10,0,1,0,0,0
PF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,373,0,0,0,0,0,0,0,1,0,1,0,3,11,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,50,9,66,8,7,0,0,49197,22,24,105,75,726,35,22,6,1,152,52,155,123,135,0,149,5,91,7,2,0,2,33,0,183,0,74,512,50,118,17,173,26,328,14,107,253,0,2,85,14,11,14,0,248,0,0,2,0,0,60,15,0,25,48,0,3,0,6,1103,12,38,12,27862,696,210,89,110,66,1,29,19,617,130,411,0,0,560,0,136,39,7,14,35,249,8,17,0,97,3,74,0,0,211,9313,2,3010,361,205,1,69,0,12,4,317,452,163,8,0,3,0,1056,1,0,0,240,9,3,75,3,1,593,165,5,70,7,7,1,55,1,49,0,47,0,0,15,39,3,2,0,0,15,701,376,0,44,1,15,40,4,14,5,17,16,2,53,2749,12,2,3,75,4980,0,126,171,0,888,59,116,1315,0,24,62,108,36,1,0,12,13,661,7,276,114,15,13,5,0,46,0,171,0,7,0,5,0,0,317,1,684,135,0,1,87,5,78,228,312,179,2045,966,0,12,539,82,50,0,5,0,0,5,35,1705,189,53,17,21,1505,137,9,54,0,3,236,76,2,0,57,0,28,5,0,54
BB,4,2,8,0,1,0,0,33,1858,3,6,8,20,0,0,1,0,7,1,0,3,1,0,3,0,11,1,0,1,0,0,0,5,0,0,17,5,8,0,6,0,16,1,48,16,0,0,29,10,1,0,0,4,1,0,1,0,0,0,1,0,0,0,0,2,0,0,55,1,3,1,34,26,11,1,2,1,0,1,2,26,18,48,0,0,66,0,21,8,0,0,1,5,20,3,0,4,1,5,0,0,10,1777,2,255,26,14,0,7,0,2,0,33,41,12,0,0,0,1,33,0,0,0,0,1,1,1,0,0,44,18,0,2,2,3,3,3,1,1,2,4,0,1,2,4,0,0,0,0,0,1,35,0,3,0,9,5,0,15,0,1,2,1,8,149,5,0,0,1,237,0,4,6,0,50,12,14,128,0,0,1,29,4,0,0,5,0,0,1,13,10,2,3,0,0,2,0,6,0,0,0,0,0,2,19,0,26,1,0,0,11,0,6,12,4,7,1,62,0,4,66,0,0,0,13,0,0,1,3,67,22,0,7,0,50,0,5,2,0,0,7,52,1,0,4,0,1,0,0,3
PS,2,3,80,2,2,0,0,17,1,746,4,108,119,0,3,1,0,12,1,1,3,1,0,7,1,12,2,0,0,1,3,0,25,0,1,805,15,7,5,21,1,17,0,57,227,0,0,28,4,0,3,0,146,1,0,0,0,0,0,2,0,33,34,0,1,0,0,61,3,37,1,82,14,44,8,14,26,0,0,4,49,30,101,0,0,57,0,45,7,0,2,1,55,1,6,0,4,3,2,0,0,101,1826,0,581,39,25,0,3,0,0,0,199,79,14,2,0,0,1,75,1,0,0,4,0,0,2,0,1,64,29,0,7,0,4,0,4,0,2,0,3,0,0,7,2,2,0,0,0,1,99,97,0,0,0,1,2,3,4,1,1,1,1,18,333,7,0,1,0,446,0,7,13,0,116,11,31,130,0,2,5,38,29,1,0,3,1,4,0,32,22,4,0,1,0,1,0,10,0,1,0,1,0,0,28,2,3976,1,0,0,13,1,59,369,0,10,5,88,0,4,167,310,5,0,0,0,0,2,98,170,38,0,4,0,105,0,2,7,0,0,13,4,1,0,8,0,7,1,0,3
