,DO,TG,SY,BW,NA,PF,GP,UA,BB,PS,GE,DZ,TR,MK,CD,SL,TK,HU,AD,MR,RS,LT,UM,EE,IS,LA,BN,GI,VG,FO,MG,AQ,CH,MF,CI,SA,GH,UY,BO,IR,BZ,NL,LU,PK,AE,MS,ST,JM,HT,TJ,SM,HM,KR,GD,PR,NU,GQ,EH,KG,PG,BV,LY,QA,SX,AI,TF,TM,DE,SS,OM,MT,RU,PL,LR,EC,PY,BH,KY,ZW,VA,FI,MA,CN,AW,CW,MX,BQ,NG,UG,NR,LK,BD,IL,TT,MM,SJ,SK,ML,AZ,CC,HK,YE,US,IM,GB,PT,BE,GW,PA,NF,AO,CV,MY,CO,SG,GN,WF,BI,KM,IT,WS,LS,PM,CZ,MU,SR,HR,VU,TL,AU,CL,MC,SD,FK,TZ,VC,ET,GM,BJ,KN,NI,PN,RW,MV,CY,TO,SH,MO,TV,GA,KW,IN,PW,BF,LI,NP,GT,NE,BS,MZ,CU,AL,TC,DK,FR,JE,DJ,ZM,AM,BR,GU,BG,RO,IO,JP,VN,TW,CA,AX,MN,SI,ZA,TN,MW,CX,GY,GL,KZ,FJ,SE,AT,CM,SN,CF,VI,HN,GG,GR,NC,DM,AS,ME,SB,FM,VE,ER,ID,UZ,BL,LC,NZ,KH,IQ,EG,LV,NO,BY,PH,MP,AF,TH,JO,SV,MQ,AG,KI,RE,BM,LB,ES,IE,XK,SC,CK,AR,MD,TD,CR,SZ,BT,PE,KE,GS,YT,BA,GF,KP,CG,MH,SO
DO,25527,1,11,0,2,0,0,39,14,6,8,17,377,0,3,4,0,16,1,1,17,5,0,13,3,12,2,1,1,0,4,0,40,0,5,40,22,221,148,84,2,148,3,18,50,0,0,39,55,2,0,0,64,5,0,0,0,0,0,327,0,2,4,0,1,0,1,120,4,28,0,74,53,45,673,180,2,5,3,14,78,39,231,0,0,2707,0,60,18,0,8,5,9,16,7,0,9,0,7,0,0,28,6838,1,443,213,99,0,203,0,4,1,62,1409,14,0,0,0,0,286,0,0,0,36,0,2,14,2,0,63,594,1,23,0,2,9,9,0,1,2,113,0,1,2,5,0,0,0,0,0,10,102,0,6,0,5,180,0,10,0,38,3,5,13,566,8,0,5,3,1442,0,10,256,0,400,35,43,212,0,3,9,90,1,0,0,8,2,10,0,41,19,6,5,5,0,85,0,22,0,4,0,0,0,1,3203,0,94,9,0,22,13,0,7,35,6,26,4,150,0,5,126,6,109,0,8,0,0,1,4,2469,28,0,1,0,2928,3,0,280,0,0,554,15,0,0,11,0,12,2,0,2
TG,2,1068,5,1,0,0,0,22,0,0,6,12,106,1,11,0,0,4,3,0,1,3,0,3,0,4,0,0,0,1,3,0,23,0,148,45,50,1,1,12,0,15,0,16,11,0,0,3,6,0,0,0,128,0,0,2,1,0,0,2,0,1,0,0,0,0,0,24,3,2,0,23,6,8,1,4,1,0,1,1,23,16,106,0,0,74,0,94,7,0,2,0,2,0,4,0,4,6,1,0,0,7,768,0,104,24,49,0,4,0,2,0,37,14,15,10,0,0,0,30,1,0,0,3,1,0,1,0,1,17,10,0,3,0,1,0,3,1,64,0,1,0,1,0,2,0,0,0,0,5,3,82,0,9,0,2,0,6,1,3,1,0,0,7,605,1,1,0,1,184,0,0,5,0,208,11,34,69,0,0,2,18,1,0,0,1,1,0,0,7,2,48,60,1,0,1,0,4,0,0,0,0,0,0,18,1,57,1,0,2,3,2,1,8,0,5,2,68,0,20,551,4,1,0,0,0,0,0,3,345,6,0,0,0,87,0,6,0,0,1,21,10,0,0,3,0,1,2,0,1
SY,29,3,16320,3,6,0,0,128,13,146,22,2479,2275,18,22,11,0,49,3,13,27,16,0,26,12,41,23,0,1,3,1,0,96,0,8,6803,71,98,13,489,8,313,9,248,899,1,1,28,11,7,2,0,405,1,0,28,0,1,2,39,0,278,271,0,1,0,3,1146,3,272,6,432,72,109,62,59,280,1,13,16,249,261,420,0,0,539,0,248,35,0,23,124,121,16,84,0,27,9,37,0,0,1115,9782,2,1923,111,112,1,23,0,11,0,3952,644,95,2,0,0,10,476,0,1,0,32,7,0,12,0,1,372,111,2,234,8,14,0,19,6,3,0,19,0,3,38,46,3,2,0,0,7,930,496,1,10,0,15,12,6,38,4,23,9,6,120,1603,14,8,5,4,1056,0,35,67,0,737,102,135,692,0,67,26,204,979,6,0,7,18,17,1,276,157,23,14,9,0,15,0,329,0,8,0,3,0,4,495,5,443,23,0,5,57,15,1511,16881,14,103,25,415,0,19,973,488,14,0,1,1,0,4,1195,727,171,3,5,0,2466,5,6,26,0,1,122,72,0,0,69,0,29,2,4,18
BW,1,2,2,5397,37,0,0,7,2,0,1,3,8,1,11,0,0,2,0,0,0,0,0,6,0,5,1,0,0,0,0,0,8,0,2,8,46,2,2,25,1,18,0,21,20,0,0,12,0,3,0,0,4,1,0,0,0,0,0,0,0,4,1,0,1,0,0,83,7,1,0,17,7,36,2,0,1,0,106,0,20,4,70,0,0,24,0,304,46,0,0,0,2,1,2,0,3,2,1,0,0,12,1321,2,282,17,15,0,6,0,1,0,56,8,6,0,0,1,0,27,0,13,0,11,3,0,0,0,0,39,7,0,2,2,23,0,4,0,2,0,0,0,23,0,4,0,1,0,0,2,1,78,0,2,0,0,2,0,3,0,0,2,0,3,145,2,0,27,0,30,0,1,3,0,79,4,25,73,0,0,1,1722,1,6,0,0,0,2,1,19,6,7,4,0,0,0,0,5,0,0,0,0,0,0,4,1,15,0,0,1,10,0,1,14,2,9,0,35,0,0,8,2,1,0,0,0,0,0,0,15,6,1,1,0,19,0,0,0,7,0,9,167,0,0,52,0,1,1,0,3
NA,1,0,2,54,6419,0,0,10,3,1,2,7,13,2,42,1,0,20,0,0,2,2,0,6,5,8,3,0,1,1,3,0,8,0,4,60,82,15,1,25,0,17,0,24,27,0,1,10,3,4,0,0,51,1,0,1,0,0,0,1,0,0,13,0,0,0,0,65,2,1,0,34,20,62,10,3,3,0,153,2,67,8,69,0,0,57,0,363,43,0,1,16,1,5,2,0,6,0,1,0,0,6,1854,1,425,30,30,0,3,0,14,0,104,27,36,0,0,1,0,68,0,2,0,9,2,0,3,0,0,230,25,4,0,0,14,0,2,0,2,1,1,0,1,2,15,0,0,0,0,5,5,153,0,4,0,5,2,2,5,3,4,2,0,7,285,3,0,31,1,155,0,5,17,1,111,6,26,113,0,0,0,1436,3,24,0,2,1,2,3,19,13,11,4,3,0,2,1,23,0,2,0,0,0,12,15,1,66,0,0,0,70,3,1,16,0,13,0,112,0,2,29,5,1,0,0,0,0,0,3,68,19,0,0,0,69,0,0,3,3,1,26,183,0,0,10,0,30,15,0,1
PF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,2,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,43,0,7,3,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,0,0,0,1,0,0,0,0,2,0,1,11,0,1,0,1,0,0,0,0,1,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UA,64,12,131,3,6,0,0,56193,12,30,77,96,975,23,26,6,1,107,21,213,89,217,0,172,10,78,6,2,2,3,17,0,352,0,95,645,99,173,75,456,11,357,15,256,286,0,1,220,12,6,4,0,881,0,0,6,0,1,53,83,0,22,25,0,2,0,0,1310,7,52,13,12787,951,177,291,150,32,30,49,11,972,154,859,0,0,2343,0,357,72,3,47,64,269,12,72,0,33,8,60,0,0,199,14803,2,2560,582,319,3,72,0,39,12,799,1346,185,17,0,0,0,1227,6,0,0,311,9,4,40,7,0,487,498,37,50,3,23,2,42,1,17,2,160,0,4,25,67,3,6,0,3,14,251,838,1,25,2,18,130,8,27,18,50,15,4,67,5011,14,1,12,29,12956,0,143,199,0,1869,177,155,1372,0,16,65,242,40,4,0,5,20,313,2,433,111,37,40,21,0,103,2,320,0,7,0,7,1,2,542,3,982,96,0,2,74,19,63,735,202,174,834,875,0,26,1700,107,85,0,4,0,0,4,26,2007,152,12,11,5,2784,78,10,113,4,5,961,91,2,0,66,0,125,8,0,21
BB,5,1,11,2,3,0,0,17,2652,1,7,8,20,1,8,0,0,11,0,3,4,1,0,4,2,7,2,0,3,1,0,0,13,0,4,24,19,16,0,26,2,18,0,43,26,0,0,172,13,0,1,0,28,14,0,3,0,0,0,4,0,1,1,0,0,0,1,78,0,2,1,22,13,25,2,10,3,7,1,1,66,16,59,0,0,71,0,250,5,0,3,2,2,119,2,0,8,0,5,0,0,9,4104,0,383,61,10,0,5,0,3,0,140,41,13,0,0,0,0,44,1,0,0,6,1,0,3,1,0,58,27,0,4,2,6,18,4,0,1,13,6,0,1,2,3,1,0,0,0,1,4,122,0,1,0,43,2,2,41,1,7,0,13,20,194,11,1,3,1,387,0,1,10,0,51,9,37,201,0,0,7,96,3,0,0,10,1,0,1,26,10,3,5,1,0,9,1,29,0,1,0,0,0,1,7,1,33,1,0,28,12,2,6,14,1,12,0,206,0,1,236,0,3,0,39,0,0,4,1,90,25,2,0,0,292,0,1,3,0,0,19,276,1,0,15,0,4,1,0,1
PS,11,1,79,4,0,0,0,23,6,2284,6,680,133,4,4,4,2,19,0,7,2,1,0,11,3,25,1,0,0,1,5,0,56,0,12,937,13,20,13,88,0,89,0,108,158,1,0,62,3,4,4,0,642,4,0,3,0,0,3,5,0,68,94,0,0,0,1,175,9,46,2,75,53,20,92,168,41,2,6,9,129,80,227,0,0,335,0,120,11,0,16,7,110,7,13,0,9,5,11,0,0,176,4030,0,816,112,66,0,14,0,8,2,210,170,46,3,0,0,1,182,0,1,0,15,4,1,7,0,2,142,83,1,61,3,14,1,6,0,3,1,14,0,2,26,7,2,1,0,0,4,132,314,0,9,0,11,13,2,11,2,3,2,0,25,1406,7,2,2,1,1215,0,5,21,0,365,26,72,265,0,3,12,209,39,1,0,31,2,2,0,64,21,16,14,12,0,5,1,32,0,2,0,0,0,0,91,6,2543,1,0,1,27,10,157,1461,4,38,3,125,0,6,477,302,9,0,1,0,0,3,133,514,71,4,0,1,181,1,6,21,2,1,46,36,5,0,22,0,23,1,0,10
GE,41,55,35,5,4,0,0,404,7,5,1621,26,424,6,27,2,2,43,0,7,15,7,0,20,8,43,2,0,0,7,7,0,86,0,39,264,43,26,9,79,2,139,5,62,69,0,0,35,16,3,1,0,192,0,0,5,0,1,4,19,0,5,16,0,2,0,4,247,6,6,2,500,58,86,70,20,4,1,11,17,189,34,226,0,0,406,0,173,28,0,33,64,29,16,23,0,20,1,43,0,0,38,23715,2,1092,95,111,0,49,0,7,1,156,236,39,10,0,0,0,205,2,0,0,23,6,2,5,0,2,250,56,6,12,4,11,1,15,5,10,2,7,0,0,11,11,1,1,0,0,40,42,382,0,5,1,18,59,6,17,3,5,4,3,72,3489,26,0,3,23,996,0,16,41,1,448,74,127,751,0,2,21,239,19,1,0,6,1,8,3,77,23,32,15,8,0,12,4,53,0,3,0,1,2,2,161,1,451,3,0,1,67,6,27,78,30,38,39,293,0,31,239,19,7,0,9,0,0,2,6,392,91,3,3,0,451,7,3,14,0,1,77,61,3,0,26,0,27,2,0,7
DZ,28,18,2300,4,7,0,0,110,4,362,26,22482,1453,5,49,16,2,94,6,14,30,9,0,53,4,99,15,1,0,10,14,0,195,0,138,5420,95,62,23,372,5,129,23,242,892,0,0,48,20,10,6,0,1000,1,0,10,2,2,6,11,0,337,179,0,2,0,3,673,10,240,23,267,130,114,72,36,149,1,9,8,247,533,720,0,0,552,0,172,38,2,24,115,100,14,87,0,49,21,49,0,0,749,8309,1,1608,6359,349,6,25,0,35,2,611,387,138,19,0,1,5,526,0,6,0,33,7,2,21,0,0,382,137,6,220,5,19,0,13,2,16,0,11,0,4,27,78,4,0,0,0,9,749,795,0,31,1,27,29,14,24,18,32,14,1,47,8915,6,9,13,25,2068,0,37,111,1,1192,194,188,886,0,46,44,271,632,5,0,31,4,43,1,271,84,85,72,8,0,10,1,125,0,15,0,9,1,1,139,2,1236,16,0,2,45,21,908,10495,22,110,17,756,0,14,3562,351,10,0,1,0,0,1,415,2550,67,4,8,2,802,2,22,28,1,2,209,57,6,0,45,0,107,12,0,22
TR,191,35,1447,26,46,0,0,1427,55,161,661,1457,1485009,414,119,49,30,830,20,39,568,52,0,282,232,162,94,6,2,28,94,0,2054,0,62,7704,323,461,131,2727,17,4633,44,2046,1897,3,1,201,49,67,34,0,3277,2,0,22,12,4,170,297,0,413,1289,0,32,0,88,19778,93,436,136,4360,1292,664,510,437,410,20,207,41,689,1034,2896,0,0,4049,0,1595,430,4,145,506,676,100,365,0,280,63,4609,0,0,1878,38444,41,11602,709,3060,15,211,0,126,16,9951,1884,484,27,0,25,6,4342,5,2,0,381,71,25,825,11,265,2269,1396,38,873,15,195,6,157,7,31,1,133,2,16,143,3995,21,9,0,8,29,1545,5164,4,127,39,477,285,106,173,36,476,188,189,606,19459,15,40,57,102,4534,0,6406,2465,1,6272,624,341,4670,0,118,288,1775,440,8,0,34,58,730,22,2133,2483,106,68,72,0,61,9,2176,0,38,0,80,6,48,908,20,4876,289,0,6,404,95,2463,4988,765,935,303,1472,0,256,5038,825,110,0,24,48,0,22,676,5607,511,509,16,9,5036,51,55,173,1,19,1084,578,34,0,1314,0,398,9,3,185
MK,0,0,16,2,1,0,0,24,1,0,3,5,270,7928,4,0,0,15,0,4,76,1,0,15,0,10,2,0,0,0,1,0,24,0,2,44,43,3,1,35,11,38,1,16,35,0,0,6,1,2,0,0,40,0,0,3,2,0,0,0,0,0,10,0,1,0,0,199,7,1,5,70,17,33,25,3,11,2,2,4,33,14,71,0,0,43,0,1207,11,0,2,11,6,0,6,0,51,1,6,0,0,13,2077,0,363,13,23,0,1,0,1,1,173,24,11,1,0,0,0,96,0,0,0,41,1,0,10,0,0,148,17,0,17,0,6,0,0,1,1,0,0,0,0,0,25,2,0,0,0,3,5,55,0,4,1,4,3,1,9,0,1,22,0,13,159,0,0,1,0,114,0,33,19,0,117,7,11,99,0,1,33,71,2,1,0,2,0,4,0,44,20,7,1,0,0,7,0,603,0,3,0,10,2,0,2,0,264,0,0,2,2,1,7,43,2,16,6,82,0,0,93,12,2,0,1,1,0,1,1,115,20,212,0,0,36,0,0,4,2,1,15,43,0,0,22,0,15,0,0,0
CD,16,21,14,4,28,0,0,31,7,7,7,40,72,4,2566,8,0,28,1,5,5,3,0,7,1,28,3,0,0,2,22,0,105,0,222,30,22,18,5,38,1,57,3,16,53,0,1,19,26,4,0,0,165,0,0,1,0,0,0,6,0,1,10,0,2,0,0,165,1,9,2,58,34,33,15,23,7,5,16,43,101,42,200,0,0,129,0,115,28,0,9,7,21,7,30,0,11,12,10,0,0,25,6223,1,861,183,530,0,14,0,35,3,157,77,41,21,0,10,3,185,0,1,0,10,6,0,5,1,2,134,40,5,11,1,51,1,15,0,106,0,1,0,11,6,6,4,1,0,1,19,5,211,0,15,1,8,162,10,25,3,7,9,1,26,4059,12,1,23,2,596,0,8,19,0,644,24,94,506,0,2,15,515,17,4,0,2,1,1,1,65,28,106,85,6,0,2,0,26,0,3,0,2,1,0,70,1,129,6,0,2,29,4,14,52,9,26,1,457,0,7,108,6,8,0,1,1,0,2,8,177,57,0,1,0,375,1,4,8,1,1,27,138,0,0,22,0,9,69,0,14
SL,4,1,9,1,0,0,0,21,2,7,7,14,17,2,11,440,1,15,0,0,5,0,0,3,1,8,1,0,0,0,0,0,20,0,5,19,37,12,2,40,0,18,1,25,16,0,0,7,1,1,12,0,1594,0,0,2,0,0,2,3,0,1,3,0,0,0,0,197,3,2,0,29,14,20,10,1,1,1,5,7,43,22,102,0,0,52,0,100,3,0,9,13,6,2,21,0,3,2,4,0,0,14,1796,0,637,22,22,0,2,0,0,0,53,29,9,13,0,0,0,47,0,0,0,3,2,0,2,0,0,53,11,0,4,1,1,1,10,2,1,0,1,0,0,2,211,0,1,0,0,2,4,89,0,4,0,20,1,0,9,1,0,1,0,5,243,5,1,0,2,185,0,3,6,0,96,41,34,124,0,1,12,50,4,1,0,4,0,6,0,69,48,8,4,2,0,3,0,116,0,0,0,0,0,0,42,0,174,0,0,1,6,37,7,32,1,17,9,193,0,2,550,7,1,0,1,0,0,1,2,109,15,1,0,0,106,1,1,3,1,3,23,34,1,0,11,0,5,0,0,4
TK,0,0,1,0,0,0,0,0,0,1,0,0,151,0,0,0,113,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,1,2,10,0,4,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,2,0,0,0,0,0,1,0,5,0,0,13,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,0,8,4,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,2,4,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,9,0,1,0,0,44,0,0,2,0,15,2,4,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,10,0,0,0,0,17,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
HU,27,5,44,5,20,0,0,136,12,40,27,113,1080,20,25,14,3,5056,4,2,62,10,0,48,2,67,10,1,2,9,3,0,155,0,8,2019,49,166,19,194,2,295,15,134,281,0,0,29,4,10,3,0,3079,0,0,3,0,1,3,16,0,35,56,0,0,0,5,793,6,76,15,439,202,140,193,52,49,2,3,12,332,108,601,0,0,1069,0,301,36,1,41,292,49,8,60,0,59,2,23,0,0,147,10049,0,2048,2989,233,0,46,0,27,0,545,394,145,3,0,1,1,700,0,1,0,79,9,3,15,2,1,423,207,2,26,1,18,1,17,1,6,1,33,0,1,18,47,3,3,0,0,6,132,865,0,13,3,55,100,8,21,8,19,14,3,78,1562,19,1,6,3,3687,0,37,124,1,1251,145,194,705,0,12,53,293,33,3,0,15,4,17,2,202,135,29,9,25,0,22,2,195,0,11,0,3,3,3,205,0,932,4,0,1,77,40,54,181,20,124,21,1107,0,16,5258,35,33,0,1,1,0,3,20,1179,110,3,4,0,1661,9,8,36,0,3,289,38,1,0,53,0,157,2,0,12
