,DO,TG,SY,BW,NA,PF,GP,UA,BB,PS,GE,DZ,TR,MK,CD,SL,TK,HU,AD,MR,RS,LT,UM,EE,IS,LA,BN,GI,VG,FO,MG,AQ,CH,MF,CI,SA,GH,UY,BO,IR,BZ,NL,LU,PK,AE,MS,ST,JM,HT,TJ,SM,HM,KR,GD,PR,NU,GQ,EH,KG,PG,BV,LY,QA,SX,AI,TF,TM,DE,SS,OM,MT,RU,PL,LR,EC,PY,BH,KY,ZW,VA,FI,MA,CN,AW,CW,MX,BQ,NG,UG,NR,LK,BD,IL,TT,MM,SJ,SK,ML,AZ,CC,HK,YE,US,IM,GB,PT,BE,GW,PA,NF,AO,CV,MY,CO,SG,GN,WF,BI,KM,IT,WS,LS,PM,CZ,MU,SR,HR,VU,TL,AU,CL,MC,SD,FK,TZ,VC,ET,GM,BJ,KN,NI,PN,RW,MV,CY,TO,SH,MO,TV,GA,KW,IN,PW,BF,LI,NP,GT,NE,BS,MZ,CU,AL,TC,DK,FR,JE,DJ,ZM,AM,BR,GU,BG,RO,IO,JP,VN,TW,CA,AX,MN,SI,ZA,TN,MW,CX,GY,GL,KZ,FJ,SE,AT,CM,SN,CF,VI,HN,GG,GR,NC,DM,AS,ME,SB,FM,VE,ER,ID,UZ,BL,LC,NZ,KH,IQ,EG,LV,NO,BY,PH,MP,AF,TH,JO,SV,MQ,AG,KI,RE,BM,LB,ES,IE,XK,SC,CK,AR,MD,TD,CR,SZ,BT,PE,KE,GS,YT,BA,GF,KP,CG,MH,SO
DO,31112,0,22,4,4,0,0,45,11,8,7,23,1085,2,5,0,0,20,1,1,13,1,0,12,5,25,5,0,5,1,3,0,58,0,5,35,21,134,68,45,3,239,3,32,49,0,0,63,99,3,0,0,82,3,0,0,0,0,0,492,0,1,8,0,4,0,0,200,3,43,0,86,43,60,735,135,8,9,3,19,101,41,198,0,0,1732,0,88,13,0,4,8,17,16,13,0,15,2,13,0,0,37,10392,0,585,174,80,0,248,0,6,2,158,1583,28,1,0,0,0,291,0,0,0,45,2,2,6,0,2,97,446,3,19,1,3,1,4,0,2,5,81,0,1,1,6,1,0,0,0,12,20,144,0,4,0,3,131,1,19,1,75,4,1,28,846,8,1,1,7,894,0,13,296,0,358,48,60,291,0,5,7,91,9,0,0,1,15,4,1,37,26,7,6,7,0,81,0,41,0,4,0,1,0,1,2771,0,110,12,0,13,11,1,12,44,10,31,8,325,0,10,129,8,102,0,6,0,0,4,4,1843,31,1,1,1,1841,0,6,284,0,1,371,26,0,0,19,0,39,2,1,8
TG,4,1398,4,1,4,0,0,10,4,0,3,17,72,3,17,8,0,16,0,0,1,0,0,6,0,8,3,1,0,1,4,0,36,0,192,14,59,7,3,22,0,11,2,65,6,0,0,3,7,3,0,0,131,0,0,3,0,0,0,1,0,4,1,0,0,0,0,44,4,3,1,30,12,21,3,4,2,1,2,4,19,17,87,0,0,128,0,147,3,0,2,3,4,2,49,0,2,25,2,0,0,5,801,0,153,18,64,0,3,0,3,0,62,27,17,16,0,0,0,51,0,1,0,4,1,0,2,0,0,29,15,2,3,0,1,1,3,1,65,1,2,0,0,3,12,0,1,0,0,7,7,85,0,14,0,5,0,7,4,0,6,2,0,4,1006,1,2,1,0,193,0,2,9,0,155,33,29,87,0,2,1,33,6,1,0,1,0,1,0,30,5,104,74,3,0,1,0,16,0,0,0,0,0,0,14,0,140,0,0,1,4,2,2,15,8,10,3,169,0,6,826,4,2,0,0,0,0,0,3,566,13,0,0,0,90,1,10,4,0,1,12,15,0,0,5,0,12,8,0,2
SY,27,4,17281,7,11,0,0,155,13,131,38,2773,1448,20,16,7,1,63,3,14,20,4,0,56,4,46,10,2,1,5,4,0,100,0,26,5670,116,65,26,449,4,264,11,230,913,1,0,33,15,6,1,0,489,1,0,22,0,2,5,28,0,444,358,0,3,0,2,947,12,289,8,456,77,136,61,41,369,6,9,19,253,303,475,0,0,366,0,805,42,0,19,128,70,10,99,0,27,2,21,0,0,893,12424,2,1880,187,171,0,23,0,4,6,708,375,79,2,0,0,3,531,1,5,0,30,6,1,13,0,1,352,129,4,251,1,29,0,10,2,2,4,15,0,1,25,30,1,0,0,0,11,891,451,1,5,0,11,16,11,49,9,30,9,3,107,1717,29,3,3,8,1942,0,29,61,0,752,81,126,913,0,104,28,273,1243,8,0,6,8,13,3,246,156,19,18,18,0,5,0,277,0,16,0,12,1,0,911,6,545,16,0,3,57,9,1140,19883,15,58,9,610,0,17,701,457,11,0,3,1,0,34,1083,871,158,3,6,1,1344,7,8,15,1,0,116,86,2,0,61,0,94,2,1,24
BW,1,6,6,8946,41,0,0,3,6,0,1,6,11,1,8,1,0,6,0,0,2,0,0,4,0,4,1,0,0,0,0,0,6,0,0,17,67,0,1,31,0,25,0,58,17,0,0,12,2,4,0,0,8,1,0,1,1,0,0,0,0,13,1,0,1,0,0,118,17,0,0,35,48,55,0,3,0,0,89,3,29,7,120,0,0,40,0,331,38,1,0,0,3,3,1,0,15,3,1,0,0,2,1771,0,455,44,15,0,4,0,2,0,69,19,21,0,0,0,1,33,0,12,0,12,0,0,0,0,1,45,5,0,2,0,33,0,3,1,0,0,3,0,26,1,2,0,1,0,0,0,1,73,0,3,0,1,112,4,11,1,4,1,2,6,305,1,0,46,1,57,0,0,8,0,67,7,35,89,0,2,2,2152,0,4,0,3,0,1,0,9,1,5,1,1,0,0,0,5,0,0,0,0,2,1,10,0,20,1,0,2,8,0,3,9,0,23,0,62,0,0,21,1,1,0,1,0,0,1,4,40,17,0,2,0,9,1,0,1,10,0,8,125,0,0,39,0,1,2,0,2
NA,3,1,5,56,13980,0,0,17,3,1,5,9,18,3,24,0,2,33,0,1,3,3,0,15,3,33,3,0,3,1,1,0,11,0,12,28,73,7,0,24,3,21,0,28,32,0,0,16,1,2,0,0,63,0,0,3,0,1,0,1,0,1,3,0,0,0,0,129,3,2,0,82,24,42,10,4,3,1,87,2,76,12,76,0,0,95,0,437,47,0,2,23,7,7,11,0,11,1,7,0,0,12,2977,0,516,38,27,0,6,0,23,1,153,30,33,0,0,0,0,100,0,6,0,4,1,0,0,0,0,302,32,0,2,1,20,4,7,2,2,0,0,0,2,3,21,0,0,0,0,2,2,134,0,4,0,2,3,0,20,13,10,1,0,12,408,3,1,48,0,233,0,5,13,1,77,17,19,168,0,2,3,1825,2,21,0,1,0,0,1,38,9,7,21,0,0,3,0,37,0,1,0,0,0,2,26,4,103,3,0,1,70,3,6,19,2,23,2,242,0,5,156,3,1,0,0,0,0,0,5,91,16,2,3,0,105,1,2,6,9,0,27,153,1,0,20,0,30,1,0,6
PF,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,2,0,0,0,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,50,7,116,2,9,0,0,76693,16,21,71,154,1248,23,38,19,1,156,30,268,128,256,0,235,14,127,19,2,3,8,26,0,476,0,104,714,136,189,34,676,21,438,33,333,293,0,5,50,32,12,10,0,935,2,0,17,0,1,40,103,0,40,18,0,4,0,4,1706,10,41,13,12518,1634,207,132,86,29,14,82,12,1227,229,976,0,0,1354,0,543,75,5,45,74,391,23,100,0,78,20,68,0,0,170,16175,0,2883,1155,520,1,62,0,40,10,1510,1057,161,20,0,2,6,1478,0,2,0,360,15,4,34,4,1,665,279,37,60,2,32,5,38,4,25,2,71,1,8,29,108,6,10,0,0,15,271,1076,0,34,0,36,58,21,45,15,36,23,0,263,10969,20,6,8,25,17495,0,162,243,0,1735,266,211,1640,0,21,71,257,56,9,0,6,16,319,20,595,185,61,50,24,0,62,2,364,0,9,0,3,4,5,393,4,2474,98,0,4,72,36,85,369,155,298,738,1116,0,25,2359,106,47,0,1,1,0,4,46,2402,212,13,5,15,1829,105,56,71,2,7,492,142,4,0,87,0,120,23,2,30
BB,21,0,11,11,3,0,0,20,5098,21,6,10,23,2,6,2,0,13,0,1,5,2,0,10,0,20,5,0,10,2,2,0,17,0,0,16,20,8,1,35,6,35,1,115,29,1,0,245,22,1,0,0,46,21,0,0,0,0,1,6,0,4,1,0,2,0,1,95,1,4,0,35,12,30,2,5,3,11,6,5,67,19,86,0,0,30,0,116,10,0,6,6,7,164,8,0,12,1,1,0,0,18,3263,2,742,73,27,0,6,0,5,0,917,41,40,0,0,0,0,49,0,1,0,4,2,1,3,0,0,95,10,5,12,3,4,70,2,0,1,27,5,0,0,0,3,0,1,0,0,1,3,271,1,5,0,74,1,2,69,4,4,0,11,12,449,9,0,1,1,646,0,3,25,0,80,12,29,334,0,1,5,89,2,0,0,8,0,0,0,38,50,3,4,1,0,2,1,25,0,2,0,0,0,0,12,2,85,1,0,74,17,0,7,27,2,12,0,162,0,5,607,17,2,0,45,1,0,5,1,145,46,1,0,0,229,0,1,2,0,0,21,252,0,0,12,0,4,0,0,5
PS,15,0,90,0,1,0,0,34,19,2001,7,235,137,1,3,4,2,18,3,18,6,3,0,7,2,26,1,0,0,1,2,0,40,0,4,1308,15,24,8,98,1,85,4,179,290,3,0,48,3,4,1,0,471,0,0,4,0,0,0,5,0,84,95,0,0,0,0,162,3,78,2,84,25,24,148,198,63,0,4,9,151,86,226,0,0,367,0,120,8,1,17,13,97,10,12,0,16,3,3,0,0,209,3369,0,821,143,46,1,10,0,3,0,383,201,30,2,0,0,1,170,0,1,0,11,4,2,4,0,1,139,127,1,84,1,11,0,7,3,1,1,17,0,0,34,16,3,1,0,0,2,194,177,0,5,2,3,19,2,9,1,7,0,0,25,566,7,2,1,2,1759,0,3,19,0,372,22,71,258,0,2,9,151,44,2,0,5,1,2,2,49,28,3,4,2,0,7,0,32,0,1,0,1,0,0,87,0,3098,3,0,2,23,3,210,1022,2,42,3,274,0,9,665,277,17,0,2,0,0,1,279,458,42,2,0,0,429,0,3,20,1,0,101,41,0,0,20,0,25,1,0,11
