,DO,TG,SY,BW,NA,PF,GP,UA,BB,PS,GE,DZ,TR,MK,CD,SL,TK,HU,AD,MR,RS,LT,UM,EE,IS,LA,BN,GI,VG,FO,MG,AQ,CH,MF,CI,SA,GH,UY,BO,IR,BZ,NL,LU,PK,AE,MS,ST,JM,HT,TJ,SM,HM,KR,GD,PR,NU,GQ,EH,KG,PG,BV,LY,QA,SX,AI,TF,TM,DE,SS,OM,MT,RU,PL,LR,EC,PY,BH,KY,ZW,VA,FI,MA,CN,AW,CW,MX,BQ,NG,UG,NR,LK,BD,IL,TT,MM,SJ,SK,ML,AZ,CC,HK,YE,US,IM,GB,PT,BE,GW,PA,NF,AO,CV,MY,CO,SG,GN,WF,BI,KM,IT,WS,LS,PM,CZ,MU,SR,HR,VU,TL,AU,CL,MC,SD,FK,TZ,VC,ET,GM,BJ,KN,NI,PN,RW,MV,CY,TO,SH,MO,TV,GA,KW,IN,PW,BF,LI,NP,GT,NE,BS,MZ,CU,AL,TC,DK,FR,JE,DJ,ZM,AM,BR,GU,BG,RO,IO,JP,VN,TW,CA,AX,MN,SI,ZA,TN,MW,CX,GY,GL,KZ,FJ,SE,AT,CM,SN,CF,VI,HN,GG,GR,NC,DM,AS,ME,SB,FM,VE,ER,ID,UZ,BL,LC,NZ,KH,IQ,EG,LV,NO,BY,PH,MP,AF,TH,JO,SV,MQ,AG,KI,RE,BM,LB,ES,IE,XK,SC,CK,AR,MD,TD,CR,SZ,BT,PE,KE,GS,YT,BA,GF,KP,CG,MH,SO
DO,32155,2,56,2,11,0,0,40,19,5,7,25,682,1,12,0,0,24,10,4,6,2,0,12,14,47,1,1,5,3,6,0,102,0,13,92,19,102,49,46,5,279,5,44,81,1,1,46,131,5,0,0,67,2,0,3,1,1,2,586,0,8,8,0,2,0,0,213,7,83,1,151,57,61,581,144,5,4,9,4,83,27,281,0,0,2033,0,67,25,0,8,5,22,18,7,0,3,3,28,0,0,18,10368,0,583,176,92,0,381,0,4,2,103,1800,25,1,0,0,0,282,0,0,0,31,9,0,3,2,2,112,574,0,26,1,3,3,4,1,2,3,109,0,2,1,13,2,2,0,3,6,18,149,0,13,1,6,159,3,29,1,81,3,3,21,1224,22,0,0,2,891,0,5,305,1,393,47,70,403,0,2,17,65,10,0,0,8,51,0,2,55,26,10,3,2,0,78,0,15,0,9,0,7,0,1,2599,0,88,23,0,5,22,3,19,192,4,29,6,236,0,7,161,3,143,0,3,0,0,1,2,1992,32,0,3,3,1604,3,3,300,0,0,377,25,0,0,28,0,14,4,0,10
TG,3,1595,1,1,0,0,0,13,0,0,2,12,49,1,12,2,0,5,1,1,1,0,0,2,0,15,1,1,0,2,0,0,37,0,151,25,101,21,4,19,0,14,1,35,24,0,0,5,9,2,0,0,30,0,0,1,0,1,1,1,0,4,0,0,0,0,0,40,4,3,0,21,9,10,8,24,0,0,0,0,37,47,93,0,0,126,0,398,7,0,3,1,6,1,16,0,3,19,2,0,0,4,617,0,153,20,50,0,6,0,2,0,22,32,3,27,0,1,0,43,0,0,0,2,1,0,1,0,1,19,20,0,8,3,3,0,5,1,71,1,5,0,2,4,4,0,0,0,0,6,2,71,0,16,0,2,3,6,3,0,5,0,0,2,1035,0,1,0,0,170,0,5,7,0,64,3,12,89,0,1,2,21,4,1,0,1,0,0,0,32,1,64,59,0,0,3,0,17,0,2,0,0,0,0,29,0,96,0,0,0,2,0,6,8,2,14,1,103,0,3,203,4,3,0,0,0,0,2,2,1483,3,1,0,0,417,0,6,5,0,1,19,13,1,0,5,0,4,6,1,2
SY,47,7,15632,6,8,0,0,108,13,116,25,2288,1763,10,17,6,2,59,3,6,25,3,0,76,5,65,15,5,0,5,4,0,80,0,15,4306,46,44,11,443,1,205,6,195,667,1,0,62,10,9,0,0,408,3,0,9,0,2,2,39,0,458,303,0,3,0,0,793,10,209,3,361,88,119,53,51,176,4,5,15,188,249,500,0,0,404,0,414,27,3,38,101,74,16,72,0,21,8,38,0,0,717,10588,0,1525,84,177,0,16,0,19,1,549,212,54,2,0,0,5,418,0,2,0,26,15,2,10,1,5,270,82,0,190,5,17,2,23,4,7,1,12,0,1,22,19,0,0,0,1,8,625,2556,0,11,1,22,18,25,67,9,18,8,3,98,1523,23,2,2,15,1202,0,32,50,3,795,61,136,675,0,62,40,234,1100,22,0,19,2,14,4,149,132,17,186,12,0,8,1,163,0,31,0,9,2,0,622,0,466,7,0,10,75,8,857,15719,35,55,3,379,0,13,406,367,11,0,3,3,0,31,842,896,119,4,1,0,1120,3,15,27,5,1,114,87,1,0,47,0,63,3,0,29
BW,1,13,2,11777,43,0,0,11,3,0,2,6,19,1,13,6,0,5,0,0,7,0,0,3,1,4,0,0,0,0,0,0,1,0,3,4,86,0,0,17,9,16,1,15,20,0,0,8,5,8,0,0,11,0,0,0,0,0,0,2,0,18,1,0,1,0,0,180,21,0,1,23,10,76,0,1,0,0,102,5,20,10,227,0,0,20,0,460,51,0,5,1,4,6,1,0,9,1,1,0,0,3,1415,0,336,22,12,0,2,0,2,0,64,13,18,1,0,0,1,29,0,13,0,12,1,0,5,0,0,41,66,0,1,2,24,0,4,0,0,1,1,0,18,8,2,2,1,0,0,0,0,133,0,9,0,2,0,0,8,0,3,3,0,6,243,5,0,68,0,48,0,1,12,0,143,6,46,103,0,3,1,2538,2,14,0,1,0,0,4,6,5,8,5,4,0,1,0,7,0,2,0,0,0,1,3,1,40,0,0,2,10,0,0,11,1,30,0,26,0,2,12,2,0,0,0,0,0,3,6,38,8,1,2,0,12,0,0,2,9,0,3,102,0,0,35,0,2,0,0,0
NA,8,1,8,47,17353,0,0,13,6,2,6,11,43,1,19,2,0,24,0,0,2,1,0,14,5,34,1,0,6,1,2,0,30,0,5,32,147,11,6,19,1,35,3,25,45,0,0,16,3,6,0,0,85,1,0,0,1,1,0,2,0,2,5,0,0,0,1,95,6,3,2,38,13,77,15,10,4,3,163,4,88,27,171,0,0,124,0,775,68,1,5,24,6,2,4,0,8,2,4,0,0,7,2604,2,564,51,34,0,11,0,59,1,160,27,25,0,0,1,0,126,0,8,0,14,2,0,2,0,1,224,26,0,2,1,15,0,5,2,0,0,2,0,6,2,14,0,0,0,0,4,6,217,0,3,0,9,8,0,24,7,53,1,0,10,670,3,0,31,1,379,0,4,13,1,145,13,22,162,0,1,13,2054,3,22,0,7,2,1,1,38,7,19,23,5,0,5,0,57,0,1,0,0,0,1,26,1,129,1,0,0,37,2,2,23,4,16,3,250,0,3,60,7,5,0,1,0,0,0,2,124,17,1,0,1,91,0,2,8,11,1,69,116,0,0,23,0,24,2,1,3
PF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,496,0,0,0,0,0,0,0,1,0,2,0,0,7,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UA,52,14,54,5,14,0,0,64394,21,17,66,206,2439,15,47,14,0,173,21,351,90,251,0,201,13,236,19,2,0,8,26,0,484,0,142,314,148,86,36,847,5,437,41,341,250,1,2,49,38,14,4,0,698,4,0,7,2,3,27,86,0,24,13,0,9,0,10,1472,13,36,17,8745,1364,216,139,85,17,29,47,16,875,345,1117,0,0,1214,0,860,89,4,96,75,320,44,65,0,79,20,124,0,0,149,18878,9,2962,944,819,2,68,0,30,12,1197,564,166,20,0,0,7,1154,1,1,0,325,14,7,35,7,4,560,229,27,86,4,39,3,47,1,29,3,62,0,18,35,107,7,14,0,1,14,156,1324,1,31,4,34,53,9,61,11,39,26,5,153,12355,34,4,8,45,13229,0,196,228,3,1812,132,227,1652,0,24,123,393,64,16,0,13,5,168,21,518,252,76,79,45,0,501,0,371,0,9,0,10,2,0,252,3,2142,47,0,4,101,27,100,259,190,186,489,1016,0,30,2114,46,56,0,9,2,0,5,37,2590,186,19,7,7,1725,65,13,87,2,6,498,127,1,0,108,0,85,26,0,28
BB,19,3,15,6,3,0,0,11,8335,27,4,6,17,1,14,0,0,11,1,0,11,5,0,6,3,20,1,0,9,2,2,0,22,0,2,12,43,3,2,39,12,37,2,149,34,2,0,396,49,8,1,0,31,32,0,0,0,0,1,4,0,1,2,0,6,0,0,100,3,0,1,30,27,32,5,5,1,12,6,10,77,23,121,0,0,66,0,250,14,0,7,6,13,219,7,0,16,1,3,0,0,3,4329,2,871,30,25,0,15,0,2,1,143,44,10,0,0,0,0,58,0,0,0,3,1,1,1,0,0,120,29,1,1,1,2,82,2,0,1,31,3,0,0,5,3,1,2,0,0,6,3,344,0,2,0,136,3,1,130,0,1,4,24,8,474,15,1,2,0,634,0,4,29,0,94,19,32,523,0,0,1,96,3,1,0,7,0,1,1,31,76,4,2,0,0,4,2,11,0,3,0,1,1,0,9,0,36,1,0,111,18,0,5,16,2,18,2,155,0,5,414,0,2,0,72,0,0,12,0,507,58,0,1,0,69,6,8,18,1,0,20,164,0,0,15,0,10,1,0,10
PS,10,2,86,2,0,0,0,34,22,2037,7,134,200,0,4,1,1,16,0,5,4,4,0,6,6,38,5,1,0,2,4,0,44,0,9,840,14,16,9,294,0,59,2,184,209,0,0,51,5,0,0,0,411,1,0,2,2,1,1,8,0,84,103,0,5,0,0,217,10,81,5,76,25,27,119,141,48,2,2,3,81,90,213,0,0,256,0,116,9,1,8,10,127,9,15,0,9,4,5,0,0,177,3017,1,924,198,53,0,7,0,5,1,677,159,35,0,0,0,0,128,0,1,0,8,9,4,2,0,3,95,70,6,34,2,12,2,7,1,4,1,22,0,1,25,12,0,0,0,1,3,133,216,0,2,1,5,17,2,15,6,13,2,0,32,602,5,0,2,0,1091,0,11,22,0,237,24,53,234,0,3,13,95,35,2,0,4,0,2,0,39,27,3,4,3,0,6,0,32,0,2,0,1,0,0,104,1,2360,5,0,7,18,1,150,736,4,29,7,134,0,4,426,261,14,0,2,0,0,4,471,336,60,2,0,0,193,2,7,15,1,1,65,30,0,0,12,0,19,2,0,2
