,DO,TG,SY,BW,NA,PF,GP,UA,BB,PS,GE,DZ,TR,MK,CD,SL,TK,HU,AD,MR,RS,LT,UM,EE,IS,LA,BN,GI,VG,FO,MG,AQ,CH,MF,CI,SA,GH,UY,BO,IR,BZ,NL,LU,PK,AE,MS,ST,JM,HT,TJ,SM,HM,KR,GD,PR,NU,GQ,EH,KG,PG,BV,LY,QA,SX,AI,TF,TM,DE,SS,OM,MT,RU,PL,LR,EC,PY,BH,KY,ZW,VA,FI,MA,CN,AW,CW,MX,BQ,NG,UG,NR,LK,BD,IL,TT,MM,SJ,SK,ML,AZ,CC,HK,YE,US,IM,GB,PT,BE,GW,PA,NF,AO,CV,MY,CO,SG,GN,WF,BI,KM,IT,WS,LS,PM,CZ,MU,SR,HR,VU,TL,AU,CL,MC,SD,FK,TZ,VC,ET,GM,BJ,KN,NI,PN,RW,MV,CY,TO,SH,MO,TV,GA,KW,IN,PW,BF,LI,NP,GT,NE,BS,MZ,CU,AL,TC,DK,FR,JE,DJ,ZM,AM,BR,GU,BG,RO,IO,JP,VN,TW,CA,AX,MN,SI,ZA,TN,MW,CX,GY,GL,KZ,FJ,SE,AT,CM,SN,CF,VI,HN,GG,GR,NC,DM,AS,ME,SB,FM,VE,ER,ID,UZ,BL,LC,NZ,KH,IQ,EG,LV,NO,BY,PH,MP,AF,TH,JO,SV,MQ,AG,KI,RE,BM,LB,ES,IE,XK,SC,CK,AR,MD,TD,CR,SZ,BT,PE,KE,GS,YT,BA,GF,KP,CG,MH,SO
DO,2318,1,5,0,0,0,0,0,1,0,0,1,0,0,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0,0,0,26,10,0,0,30,0,0,13,0,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,23,1,5,0,5,2,13,405,78,0,0,0,2,2,1,30,0,0,1194,0,1,1,0,0,4,1,2,0,0,1,0,0,0,0,1,667,0,37,3,0,0,81,0,1,1,7,1022,1,0,0,0,0,65,0,0,0,5,0,1,1,0,0,9,112,0,2,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,235,0,3,0,5,0,0,0,69,0,0,0,3,101,0,0,79,0,10,5,0,38,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,83,0,1,0,0,0,0,0,0,1071,0,3,2,0,0,1,0,0,2,1,1,2,17,0,0,3,0,151,0,0,0,0,0,0,541,2,1,0,0,305,0,2,46,0,0,103,0,1,0,13,0,3,0,0,0
TG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SY,4,2,489,0,0,0,0,1,1,2,1,2,13,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,1,1,0,2,0,0,69,0,0,3,16,0,12,0,2,19,0,0,2,1,2,0,0,3,0,0,0,0,0,0,0,0,16,8,0,0,0,0,285,0,5,4,2,1,16,0,0,53,0,2,9,14,4,31,0,0,4,0,4,0,0,0,1,2,2,1,0,0,0,0,0,0,12,905,0,73,1,2,0,3,0,0,0,10,7,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,13,3,0,1,1,0,0,1,0,0,0,0,0,1,12,1,0,0,0,0,0,55,5,0,0,0,1,1,0,7,0,2,0,0,7,82,1,0,0,0,37,0,0,4,0,23,1,2,42,0,0,0,2,2,0,0,0,0,0,0,9,3,0,0,0,0,0,0,3,0,16,0,0,0,0,3,0,3,0,0,0,4,0,4,58,0,2,0,9,0,1,9,14,0,0,0,0,0,0,11,16,7,1,0,0,48,0,0,1,0,0,1,2,0,0,4,0,1,0,0,0
BW,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,3,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,3,0,3,0,1,0,0,1341,0,1,1,1,13,1,0,0,0,3,0,1,5,1,0,4,0,1,1,0,0,0,5,0,1,0,0,1,1,1,0,7,0,15,0,2,7,0,0,2,0,1,0,0,2,0,0,0,0,0,1,0,0,2,2,0,0,0,2,18,0,1,0,670,3,5,1,0,0,0,0,1,7,1,9,0,0,17,0,8,1,2,0,0,2,0,1,0,0,0,8,0,0,3,249,0,61,4,1,0,1,0,0,0,1,6,3,0,0,0,0,24,0,0,0,2,0,0,0,0,0,4,5,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,2,42,1,0,0,6,495,0,1,1,0,29,1,1,34,0,0,0,5,0,0,0,1,0,26,0,11,1,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,29,5,0,0,2,0,0,1,11,6,63,11,0,0,3,2,0,0,0,1,0,0,1,18,4,0,0,0,14,6,0,1,0,0,3,1,1,0,1,0,1,0,0,0
BB,1,0,2,0,0,0,0,0,291,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,154,0,26,0,0,0,0,0,0,0,2,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,2,15,1,0,0,0,17,0,0,3,0,4,0,1,10,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,2,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
PS,0,0,7,0,0,0,0,1,0,10,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,6,0,0,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,2,2,1,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,105,0,0,0,0,10,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,3,0,0,0,2,0,0,4,4,0,0,0,0,0,0,1,9,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
GE,1,2,5,0,0,0,0,1,4,0,120,0,4,0,0,1,0,5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,4,1,0,4,0,4,0,1,4,0,0,2,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,15,0,9,0,1,1,0,0,2,1,0,16,0,0,3,0,2,0,0,0,0,1,2,1,0,0,0,1,0,0,2,1116,0,66,1,3,0,1,0,0,0,6,34,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,1,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,15,0,10,0,0,0,1,2,0,1,0,0,0,0,1,27,1,0,0,1,12,0,0,1,0,17,1,2,29,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,7,0,0,0,4,0,0,2,0,2,1,8,0,0,5,1,1,0,0,0,0,0,0,7,12,0,0,0,2,1,0,1,0,0,1,0,0,0,3,0,0,1,0,0
DZ,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10,0,0,0,2,0,8,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,1,0,0,3,0,0,0,2,3,2,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,99,0,17,0,2,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,17,0,0,1,0,14,1,0,10,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,8,1,0,0,1,0,0,24,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,3,1,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TR,2,5,6,0,1,0,0,17,1,3,3,3,22328,9,2,1,0,14,0,0,15,1,0,1,3,0,0,0,0,0,2,0,42,0,5,28,0,5,1,14,0,166,0,11,27,0,0,3,0,1,0,0,12,0,0,0,0,0,4,8,0,1,5,0,0,0,1,376,2,0,1,51,9,7,2,0,9,0,1,2,15,7,31,0,0,25,0,2,3,0,2,1,3,0,0,0,4,4,58,0,0,10,768,1,343,11,62,0,2,0,1,0,14,11,8,0,0,0,0,82,0,0,0,7,0,0,50,0,1,46,1,0,19,2,2,0,1,0,7,0,1,0,0,2,66,1,0,0,0,0,22,16,0,1,1,0,1,1,5,0,9,1,0,24,210,0,0,1,1,48,0,80,28,0,74,4,3,76,0,0,3,11,1,0,0,0,4,10,1,23,64,1,2,0,0,1,2,38,0,2,0,1,0,0,6,0,45,5,0,0,2,16,6,26,14,10,1,13,0,1,15,6,3,0,0,0,0,0,3,81,18,3,0,0,21,0,1,0,0,1,12,4,0,0,18,0,9,5,0,0
MK,1,0,0,0,0,0,0,0,0,0,0,0,8,146,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,22,0,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,2,0,1,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,131,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,7,1,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
CD,1,0,2,0,0,0,0,0,0,0,0,0,3,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,3,3,0,2,0,0,4,0,2,1,0,0,0,1,1,9,0,0,0,0,0,0,0,163,0,17,0,2,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,1,0,11,0,3,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,330,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,5,1,0,1,0,15,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,18,2,5,5,1,5,0,0,4,8,0,8,0,0,12,0,2,0,0,0,0,2,0,0,0,2,1,0,0,0,0,304,0,73,1,4,0,0,0,0,0,7,6,3,0,0,0,0,11,0,0,0,2,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,51,0,0,0,1,36,0,0,3,0,14,1,1,27,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,5,0,0,0,0,18,0,18,1,0,1,1,0,0,3,0,3,0,2,0,0,7,1,2,0,0,0,0,1,0,11,11,0,0,0,12,0,0,0,1,0,1,2,0,0,1,0,2,0,0,0
AD,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,45,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
