,DO,TG,SY,BW,NA,PF,GP,UA,BB,PS,GE,DZ,TR,MK,CD,SL,TK,HU,AD,MR,RS,LT,UM,EE,IS,LA,BN,GI,VG,FO,MG,AQ,CH,MF,CI,SA,GH,UY,BO,IR,BZ,NL,LU,PK,AE,MS,ST,JM,HT,TJ,SM,HM,KR,GD,PR,NU,GQ,EH,KG,PG,BV,LY,QA,SX,AI,TF,TM,DE,SS,OM,MT,RU,PL,LR,EC,PY,BH,KY,ZW,VA,FI,MA,CN,AW,CW,MX,BQ,NG,UG,NR,LK,BD,IL,TT,MM,SJ,SK,ML,AZ,CC,HK,YE,US,IM,GB,PT,BE,GW,PA,NF,AO,CV,MY,CO,SG,GN,WF,BI,KM,IT,WS,LS,PM,CZ,MU,SR,HR,VU,TL,AU,CL,MC,SD,FK,TZ,VC,ET,GM,BJ,KN,NI,PN,RW,MV,CY,TO,SH,MO,TV,GA,KW,IN,PW,BF,LI,NP,GT,NE,BS,MZ,CU,AL,TC,DK,FR,JE,DJ,ZM,AM,BR,GU,BG,RO,IO,JP,VN,TW,CA,AX,MN,SI,ZA,TN,MW,CX,GY,GL,KZ,FJ,SE,AT,CM,SN,CF,VI,HN,GG,GR,NC,DM,AS,ME,SB,FM,VE,ER,ID,UZ,BL,LC,NZ,KH,IQ,EG,LV,NO,BY,PH,MP,AF,TH,JO,SV,MQ,AG,KI,RE,BM,LB,ES,IE,XK,SC,CK,AR,MD,TD,CR,SZ,BT,PE,KE,GS,YT,BA,GF,KP,CG,MH,SO
DO,41267,8,36,0,0,0,0,27,8,6,17,41,78,9,24,5,0,55,12,3,10,4,0,24,4,60,0,0,3,2,32,0,150,0,9,47,14,231,245,116,3,498,4,30,213,0,0,53,80,10,1,0,52,1,0,6,0,1,1,5,0,4,8,0,0,0,2,318,13,76,2,119,36,209,7326,2774,3,0,0,4,50,46,556,0,0,19236,0,61,18,0,1,15,40,7,11,0,10,13,13,0,0,42,11368,0,1119,119,38,1,1864,0,0,4,77,15759,15,2,0,1,3,1158,0,0,0,36,1,3,12,1,1,152,1387,3,29,3,2,1,19,0,2,1,318,0,0,6,6,0,12,0,0,11,10,235,0,9,0,10,4833,1,17,2,119,3,0,16,1670,24,2,0,52,1256,0,6,1473,0,236,105,31,665,0,6,5,43,18,1,0,13,68,5,5,61,62,11,3,1,0,1917,1,41,0,16,0,1,2,1,14807,0,113,25,0,3,29,0,36,54,10,47,6,341,0,20,147,7,2496,0,16,0,0,1,5,19922,80,0,2,0,5027,2,5,1064,0,0,1810,10,3,0,96,0,51,2,0,15
TG,2,20,0,1,0,0,0,1,2,0,3,1,5,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,1,5,0,8,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,2,0,0,3,2,0,3,3,1,0,0,2,8,3,26,0,0,33,0,8,3,0,0,1,0,0,1,0,0,0,0,0,0,3,381,0,42,0,2,0,3,0,0,0,11,6,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,22,9,0,0,0,0,1,0,3,0,1,0,1,0,55,1,0,0,0,34,0,0,1,0,29,2,2,18,0,0,1,2,1,0,0,0,0,0,0,4,1,1,0,0,0,1,0,6,0,1,0,0,0,0,6,0,38,0,0,0,4,0,0,2,0,3,0,11,0,0,23,0,5,0,0,0,0,0,1,34,2,0,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
SY,32,6,3304,4,1,0,0,13,13,29,38,63,314,3,8,4,0,29,19,7,26,0,0,9,0,7,1,0,0,0,1,0,18,0,5,2667,7,9,6,183,2,103,4,21,551,0,0,38,3,9,0,0,26,1,0,2,0,1,0,19,0,39,167,0,1,0,1,1904,1,48,10,89,20,79,15,7,547,1,5,67,120,46,199,0,0,195,0,28,7,0,2,3,20,11,14,0,3,3,1,0,0,483,7734,0,815,6,38,0,7,0,0,1,144,77,19,0,0,0,0,170,2,0,0,7,1,2,3,0,0,126,25,2,23,1,3,2,11,0,0,1,9,0,0,86,1,1,1,0,0,13,1295,97,0,1,0,1,6,0,31,2,12,5,2,22,569,16,2,1,2,359,0,2,24,0,244,14,36,444,0,1,8,49,35,1,0,4,2,2,1,86,26,8,1,2,0,8,0,27,0,218,0,1,0,0,76,2,109,4,0,0,61,0,59,832,38,47,0,74,0,7,68,165,10,0,2,1,0,22,175,743,84,0,1,0,537,4,0,6,0,0,24,9,0,0,35,0,32,0,0,8
BW,0,5,5,954,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,3,0,1,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,16,1,13,1,0,2,0,3,1,2,1,15,0,0,1,0,13,2,0,2,0,0,0,0,0,0,0,0,0,0,0,414,0,87,0,2,0,2,0,1,0,28,3,5,0,0,0,0,10,0,2,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,2,0,12,0,0,0,0,0,0,3,0,0,1,0,1,43,0,0,8,0,12,0,0,0,0,14,1,1,21,0,0,1,149,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,5,0,2,4,3,0,0,0,0,0,0,1,19,3,0,0,0,4,1,0,0,0,0,0,12,0,0,2,0,0,0,0,0
NA,1,0,0,7,983,0,0,8,0,0,0,1,3,1,1,1,0,1,0,0,0,1,0,2,0,2,2,0,0,0,0,0,6,0,0,15,0,0,1,1,0,15,0,1,35,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,2,0,15,9,5,0,0,1,0,1,0,5,1,17,0,0,11,0,7,4,0,1,1,2,2,0,0,0,0,1,0,0,4,436,0,215,5,6,0,2,0,4,0,17,4,5,0,0,0,0,73,0,0,0,2,1,0,2,0,0,248,3,0,1,0,1,0,0,0,0,0,1,0,3,1,0,1,0,0,0,2,6,11,0,0,0,0,2,0,0,0,0,0,0,7,33,1,0,16,0,55,0,0,4,0,16,3,4,60,0,0,0,179,0,1,0,0,0,0,1,12,1,0,0,0,0,1,0,37,0,0,0,0,0,0,7,0,28,0,0,0,28,0,1,9,0,7,1,35,0,0,5,1,1,0,0,0,0,0,0,29,28,0,0,0,9,0,0,2,0,0,0,4,0,0,3,0,0,0,0,0
PF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,19,4,21,1,4,0,0,12770,9,2,30,11,381,8,2,2,0,25,8,8,35,33,0,45,1,24,13,0,1,1,7,0,36,0,3,271,22,24,7,51,1,249,1,27,174,0,2,22,6,9,0,0,116,0,0,5,0,0,29,4,0,1,22,0,3,0,3,354,3,17,15,9589,98,75,40,15,22,1,3,6,70,7,243,0,0,197,0,160,8,3,7,5,54,12,3,0,25,1,46,0,0,90,5295,2,1323,53,72,0,18,0,3,7,306,143,113,2,0,0,0,428,1,0,0,70,4,3,19,1,1,306,54,3,11,0,5,0,5,0,0,1,7,0,0,3,14,3,1,0,0,3,157,127,0,3,0,3,14,1,20,0,6,4,4,40,686,20,0,7,26,1580,0,26,55,0,445,48,34,508,0,8,9,109,3,1,0,5,1,226,2,117,49,5,5,1,0,19,0,42,0,9,0,11,0,0,103,1,448,45,0,2,50,5,15,79,116,91,731,270,0,5,155,11,14,0,0,1,0,3,16,343,115,8,3,0,233,62,1,10,0,1,44,16,2,0,34,0,8,0,0,5
BB,4,1,8,1,1,0,0,4,3843,0,10,6,18,3,0,0,0,4,0,0,7,0,0,0,0,2,0,0,0,1,1,0,6,0,0,7,1,0,3,12,1,35,0,7,16,0,0,32,15,5,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,41,1,0,0,19,39,47,2,2,1,0,5,5,11,38,70,0,0,29,0,10,2,0,1,2,1,30,3,0,0,1,0,0,0,0,2009,1,371,3,3,0,6,0,0,0,66,25,86,0,0,0,1,71,0,0,0,0,0,2,0,0,0,34,4,0,3,0,1,1,1,0,0,7,2,0,0,0,0,0,2,0,0,9,7,62,0,1,0,87,3,0,12,0,3,0,1,3,220,8,0,0,1,170,0,1,7,1,47,9,4,212,0,0,3,37,0,2,0,4,3,1,0,9,8,4,1,0,0,1,0,3,0,7,0,0,0,0,8,1,82,1,0,6,5,0,2,15,0,7,4,43,0,0,16,1,0,0,4,0,0,1,3,138,19,0,0,0,21,0,4,3,0,0,16,10,1,0,13,0,1,0,0,5
PS,3,1,18,0,0,0,0,6,0,141,4,6,53,2,3,2,0,1,7,1,4,0,0,2,1,4,1,0,0,0,2,0,10,0,0,494,5,3,5,10,0,24,0,12,135,0,1,24,0,0,0,0,260,1,0,0,0,0,1,2,0,7,32,0,1,0,0,36,1,12,1,11,7,11,21,37,36,0,0,2,12,7,45,0,0,76,0,18,2,0,1,2,15,3,2,0,1,1,1,0,0,76,1043,0,385,1,3,0,10,0,0,0,58,44,8,0,0,0,0,62,0,0,0,1,0,0,2,0,0,37,12,0,7,1,2,1,2,0,1,0,1,0,0,4,2,1,2,0,0,0,163,22,0,1,0,1,6,1,7,1,0,2,0,4,137,4,2,0,0,685,0,2,7,0,92,3,7,86,0,1,0,27,11,3,0,0,1,0,0,34,2,0,1,1,0,1,0,7,0,9,0,0,0,0,32,1,106,1,0,0,10,1,5,160,0,8,2,17,0,2,34,37,5,0,0,0,0,0,6,188,22,0,1,0,36,1,1,3,0,0,11,3,0,0,7,0,2,0,0,2
