,DO,TG,SY,BW,NA,PF,GP,UA,BB,PS,GE,DZ,TR,MK,CD,SL,TK,HU,AD,MR,RS,LT,UM,EE,IS,LA,BN,GI,VG,FO,MG,AQ,CH,MF,CI,SA,GH,UY,BO,IR,BZ,NL,LU,PK,AE,MS,ST,JM,HT,TJ,SM,HM,KR,GD,PR,NU,GQ,EH,KG,PG,BV,LY,QA,SX,AI,TF,TM,DE,SS,OM,MT,RU,PL,LR,EC,PY,BH,KY,ZW,VA,FI,MA,CN,AW,CW,MX,BQ,NG,UG,NR,LK,BD,IL,TT,MM,SJ,SK,ML,AZ,CC,HK,YE,US,IM,GB,PT,BE,GW,PA,NF,AO,CV,MY,CO,SG,GN,WF,BI,KM,IT,WS,LS,PM,CZ,MU,SR,HR,VU,TL,AU,CL,MC,SD,FK,TZ,VC,ET,GM,BJ,KN,NI,PN,RW,MV,CY,TO,SH,MO,TV,GA,KW,IN,PW,BF,LI,NP,GT,NE,BS,MZ,CU,AL,TC,DK,FR,JE,DJ,ZM,AM,BR,GU,BG,RO,IO,JP,VN,TW,CA,AX,MN,SI,ZA,TN,MW,CX,GY,GL,KZ,FJ,SE,AT,CM,SN,CF,VI,HN,GG,GR,NC,DM,AS,ME,SB,FM,VE,ER,ID,UZ,BL,LC,NZ,KH,IQ,EG,LV,NO,BY,PH,MP,AF,TH,JO,SV,MQ,AG,KI,RE,BM,LB,ES,IE,XK,SC,CK,AR,MD,TD,CR,SZ,BT,PE,KE,GS,YT,BA,GF,KP,CG,MH,SO
DO,12757,1,13,1,1,0,0,21,4,2,5,14,448,0,7,0,0,17,3,0,2,4,0,10,1,39,0,0,1,1,3,0,34,0,7,22,4,74,41,22,0,88,3,27,38,0,0,25,74,0,0,0,28,2,0,0,0,0,3,212,0,4,2,0,1,0,0,96,1,18,0,37,18,22,287,122,0,1,0,2,52,22,132,0,0,1153,0,38,7,0,1,5,8,15,9,0,6,2,8,0,0,21,3908,0,291,38,28,0,219,0,4,1,72,2810,9,1,0,0,0,117,0,0,0,11,9,1,1,1,3,51,292,3,12,0,4,5,2,0,1,0,92,0,1,6,1,1,0,0,0,1,7,205,0,4,0,6,71,0,5,1,47,2,0,7,384,4,0,0,3,432,0,3,110,0,198,29,35,197,0,0,13,23,2,0,0,5,20,4,1,28,20,7,3,2,0,47,0,31,0,2,0,0,0,1,1345,0,100,2,0,5,12,3,5,71,2,13,5,260,0,7,76,1,90,0,2,0,0,0,2,1199,21,4,2,0,1007,1,1,134,0,1,256,11,0,0,2,0,6,1,0,2
TG,4,979,0,3,2,0,0,9,2,2,3,9,68,0,12,2,0,9,0,3,0,0,0,6,0,14,0,0,0,1,0,0,13,0,63,11,36,7,1,10,1,11,0,17,8,0,0,6,2,1,0,0,75,1,0,0,0,5,0,1,0,0,0,0,0,0,0,32,2,0,2,12,4,8,8,9,1,0,3,0,6,30,55,0,0,37,0,156,14,0,1,0,5,1,1,0,3,10,2,0,0,11,514,0,87,28,27,0,1,0,2,0,52,27,5,12,0,0,1,25,0,1,0,5,0,0,0,0,0,15,3,0,3,1,11,0,3,2,51,0,11,0,0,9,6,0,0,0,0,6,2,33,0,10,0,1,2,3,4,2,0,2,0,2,428,3,1,4,0,108,0,2,5,0,47,11,8,65,0,1,1,40,1,0,0,1,1,1,0,14,7,43,20,1,0,4,0,5,0,2,0,0,0,0,14,0,51,0,0,0,5,2,5,10,0,10,1,75,0,2,714,0,1,0,0,2,0,0,1,1128,4,0,0,0,73,0,2,3,1,1,17,19,0,0,5,0,3,5,0,4
SY,12,5,7021,3,4,0,0,28,13,70,13,840,597,0,8,0,0,17,0,1,10,4,0,23,3,56,0,0,1,3,1,0,44,0,6,1601,44,5,6,222,1,104,2,104,236,0,0,38,5,2,2,0,129,1,0,3,2,1,2,5,0,203,87,0,1,0,1,283,3,119,2,119,20,44,24,38,44,4,6,5,82,114,248,0,0,221,0,159,67,1,24,18,37,14,41,0,10,4,15,0,0,351,4923,0,589,50,77,1,11,0,6,3,188,108,14,2,0,0,6,189,1,1,0,16,6,0,6,0,1,124,47,2,80,1,6,3,11,1,2,1,2,0,1,16,6,0,0,0,0,4,211,353,0,4,1,4,11,0,19,4,9,5,1,33,594,17,3,3,3,353,0,10,33,0,392,18,48,336,0,9,15,152,438,4,0,1,1,4,5,90,69,13,37,2,0,8,0,45,0,27,0,5,0,2,103,0,130,2,0,6,27,2,322,5848,6,38,0,229,0,8,122,162,10,0,2,0,0,11,456,448,52,0,0,0,515,1,4,11,0,0,100,39,0,0,14,0,8,0,0,10
BW,0,6,1,5095,18,0,0,1,1,1,4,0,6,0,6,2,0,1,0,0,0,0,0,1,0,6,0,0,0,1,0,0,2,0,0,10,31,0,0,11,4,12,0,6,10,0,0,3,0,1,0,0,4,0,0,0,1,0,0,1,0,6,0,0,0,0,0,91,4,2,1,7,2,14,1,2,1,0,42,1,9,0,120,0,0,19,0,161,24,0,3,2,1,0,1,0,0,2,1,0,0,1,699,1,167,4,5,0,0,0,2,0,9,2,10,0,0,0,0,11,0,9,0,0,1,1,0,0,0,27,1,0,1,1,12,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,100,0,1,0,3,0,2,2,2,1,0,0,3,124,2,0,41,0,23,0,1,5,0,23,0,9,67,0,1,1,913,0,13,0,0,0,0,1,5,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,22,0,0,1,5,0,1,11,0,3,1,15,0,0,9,1,0,0,0,0,0,0,6,6,13,0,0,0,6,0,0,0,2,0,2,44,0,0,5,0,0,1,0,0
NA,1,1,3,37,8339,0,0,12,2,2,1,6,26,2,6,13,0,43,0,2,1,0,0,4,0,22,1,0,0,0,0,0,14,0,4,11,79,1,1,11,1,30,2,15,25,0,0,14,3,1,0,0,34,0,0,1,0,0,2,1,0,0,4,0,0,0,0,64,6,1,0,28,9,45,10,2,2,0,104,1,33,33,121,0,0,33,0,426,42,1,43,1,3,3,8,0,4,10,0,0,0,3,1326,0,334,36,20,1,5,0,23,0,39,30,3,2,0,0,0,91,0,1,0,4,0,0,5,0,1,92,12,1,2,0,20,0,4,1,2,0,3,0,4,5,7,0,1,0,0,1,1,102,0,4,1,4,4,1,15,4,26,1,0,5,189,2,0,32,0,405,0,2,12,0,75,4,7,102,0,1,4,1087,1,10,0,1,0,1,2,22,11,12,13,2,0,3,0,21,0,1,0,0,0,0,27,2,71,0,0,1,18,0,3,9,0,14,2,81,0,1,442,1,2,0,2,0,0,0,1,58,11,0,1,0,30,2,3,4,4,1,11,94,0,0,13,0,4,0,0,2
PF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,20,8,20,2,6,0,0,33175,7,15,28,93,1091,11,13,3,2,87,12,169,50,648,0,123,7,159,1,1,1,2,15,0,177,0,46,108,73,41,11,608,9,203,26,152,93,0,1,23,16,14,1,0,274,2,0,3,2,1,20,41,0,16,11,0,3,0,28,1424,7,24,5,9045,614,78,81,32,7,26,12,4,322,161,645,0,0,672,0,553,33,0,33,28,144,16,13,0,33,5,57,0,0,61,6679,1,1451,205,194,0,31,0,10,5,426,239,49,9,0,1,4,664,0,0,0,171,8,0,18,1,3,282,445,17,27,2,13,2,14,0,8,0,18,0,17,5,26,3,4,0,0,7,50,629,1,14,2,20,39,7,47,5,23,12,0,33,2796,17,1,7,9,4710,0,142,119,0,1268,42,113,771,0,13,45,144,14,4,0,4,0,1141,1,232,126,34,20,11,0,186,1,195,0,4,0,18,3,4,168,0,855,22,0,1,39,9,32,136,562,88,468,317,0,21,767,14,23,0,10,0,0,1,47,1116,295,11,1,3,669,175,13,48,3,2,341,36,0,0,43,0,42,3,0,10
BB,13,1,3,2,1,0,0,9,4110,18,2,3,123,3,5,0,0,9,0,0,3,2,0,4,0,19,1,0,6,0,1,0,4,0,1,1,18,2,1,20,6,19,5,62,16,0,0,223,26,11,0,0,7,23,0,0,0,0,0,0,0,1,0,0,1,0,0,48,0,2,2,36,5,14,5,3,0,9,6,2,19,7,53,0,0,60,0,118,7,0,1,1,5,105,3,0,3,0,8,0,0,5,1626,4,394,20,9,0,2,0,2,0,52,22,2,0,0,0,0,27,0,0,0,5,3,0,0,1,0,40,22,1,5,0,3,34,0,0,1,11,2,0,1,3,0,0,0,0,0,0,0,223,0,3,0,61,1,1,52,1,1,1,11,7,185,8,0,1,0,320,0,1,10,0,44,4,13,164,0,0,6,101,1,1,0,7,1,1,1,14,59,2,1,1,0,0,0,7,0,3,0,0,1,0,9,0,40,0,0,80,4,0,2,6,1,9,2,46,0,2,44,0,1,0,45,0,0,3,1,114,18,0,0,0,49,3,0,7,1,0,9,67,0,0,8,0,3,0,0,5
PS,3,2,76,1,0,0,0,30,17,1347,2,142,180,0,4,0,0,19,2,11,5,0,0,5,2,53,1,0,0,1,5,0,41,0,1,676,10,1,7,307,0,47,2,236,148,0,0,16,3,2,0,0,193,0,0,1,1,0,0,3,0,82,183,0,2,0,2,105,3,462,4,45,15,14,43,42,46,1,1,1,64,126,124,0,0,103,0,40,14,1,19,14,101,11,9,0,8,2,5,0,0,319,1677,0,663,43,38,0,1,0,0,1,475,62,23,2,0,0,2,81,0,0,0,7,9,3,2,1,0,80,27,1,41,0,3,0,7,0,3,1,8,0,1,9,5,1,0,0,0,1,207,284,0,4,1,3,13,2,8,1,2,2,0,24,572,1,1,0,2,997,0,0,26,0,113,20,42,184,0,1,5,90,68,1,0,1,0,1,2,41,15,2,7,1,0,0,0,22,0,1,0,1,0,0,43,1,176,3,0,0,20,4,163,875,0,44,3,60,0,11,157,554,8,0,0,0,0,0,509,166,45,1,0,1,73,0,4,2,0,0,43,41,0,0,14,0,9,0,0,15
